airfoil_family,tubercle_amplitude,tubercle_wavelength,tubercle_shape,root_chord,tip_chord,sweep_angle,angle_of_attack,airspeed,separation_x_over_c,data_source
symmetric,0,0,none,1,1,0,0,15,0.648,OpenFOAM
symmetric,0,0,none,1,1,0,5,15,0.597,OpenFOAM
symmetric,0,0,none,1,1,0,10,15,0.433,OpenFOAM
symmetric,0,0,none,1,1,0,15,15,0.368,OpenFOAM
symmetric,0,0,none,1,1,0,20,15,0.179,OpenFOAM
symmetric,0,0,none,1,1,0,0,30,0.621,OpenFOAM
symmetric,0,0,none,1,1,0,5,30,0.538,OpenFOAM
symmetric,0,0,none,1,1,0,10,30,0.36,OpenFOAM
symmetric,0,0,none,1,1,0,15,30,0.277,OpenFOAM
symmetric,0,0,none,1,1,0,20,30,0.0802,OpenFOAM
cambered,0,0,none,1,1,0,0,15,0.746,OpenFOAM
cambered,0,0,none,1,1,0,5,15,0.698,OpenFOAM
cambered,0,0,none,1,1,0,10,15,0.644,OpenFOAM
cambered,0,0,none,1,1,0,15,15,0.535,OpenFOAM
cambered,0,0,none,1,1,0,20,15,0.423,OpenFOAM
cambered,0,0,none,1,1,0,0,30,0.649,OpenFOAM
cambered,0,0,none,1,1,0,5,30,0.597,OpenFOAM
cambered,0,0,none,1,1,0,10,30,0.526,OpenFOAM
cambered,0,0,none,1,1,0,15,30,0.477,OpenFOAM
cambered,0,0,none,1,1,0,20,30,0.388,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,0,15,0.974,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,5,15,0.94,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,10,15,0.811,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,15,15,0.688,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,20,15,0.564,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,0,30,0.953,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,5,30,0.9146,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,10,30,0.693,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,15,30,0.586,OpenFOAM
biomimetic,26.247,49.607,whale,1,1,0,20,30,0.487,OpenFOAM
